id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
24,Fairbanks Ct & Grand Ave,6,15,41.89186,-87.62062,In Service,1,IN_SERVICE,9,Fairbanks Ct & Grand Ave,,Chicago,60611,240 E.Grand Ave.,,False,2019-01-31 17:55:48,K3_FULL,13262,True
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
243,Lincoln Ave & Sunnyside Ave,9,15,41.963004,-87.684781,In Service,1,IN_SERVICE,6,Lincoln Ave & Sunnyside Ave,,Chicago ,60625,,,False,2019-01-31 17:57:37,K3_FULL,13126,True
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
287,Franklin St & Monroe St,15,27,41.880317,-87.635185,In Service,1,IN_SERVICE,12,Franklin St & Monroe St,,Chicago,60606,,,False,2019-01-31 17:57:38,K3_FULL,13057,True
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
110,Dearborn St & Erie St,1,27,41.893992,-87.629318,In Service,1,IN_SERVICE,25,Dearborn St & Erie St,"
",Chicago,60654,,,False,2019-01-31 18:01:44,K3_FULL,13045,True
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
26,McClurg Ct & Illinois St,25,31,41.890359,-87.617532,In Service,1,IN_SERVICE,5,McClurg Ct & Illinois St,,Chicago,60611,,,False,2019-01-31 18:02:32,K3_FULL,13051,True
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
13,Wilton Ave & Diversey Pkwy,26,35,41.932418,-87.652705,In Service,1,IN_SERVICE,9,Wilton Ave & Diversey Pkwy,,Chicago,60614,2790 N.Wilton Ave,,False,2019-01-31 18:03:28,K3_FULL,13066,True
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
141,Clark St & Lincoln Ave,11,23,41.915689,-87.6346,In Service,1,IN_SERVICE,11,Clark St & Lincoln Ave,,Chicago ,60614,,,False,2019-01-31 18:07:13,K3_FULL,13179,True
233,Sangamon St & Washington Blvd (*),12,16,41.883165,-87.6511,In Service,1,IN_SERVICE,4,Sangamon St & Washington Blvd (*),,Chicago,60607,,,False,2019-01-31 18:04:23,K3_FULL,13409,True
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
287,Franklin St & Monroe St,16,27,41.880317,-87.635185,In Service,1,IN_SERVICE,11,Franklin St & Monroe St,,Chicago,60606,,,False,2019-01-31 18:06:44,K3_FULL,13057,True
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
110,Dearborn St & Erie St,2,27,41.893992,-87.629318,In Service,1,IN_SERVICE,24,Dearborn St & Erie St,"
",Chicago,60654,,,False,2019-01-31 18:06:18,K3_FULL,13045,True
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
20,Sheffield Ave & Kingsbury St,1,15,41.910522,-87.653106,In Service,1,IN_SERVICE,14,Sheffield Ave & Kingsbury St,,Chicago,60642,,,False,2019-01-31 18:09:10,K3_FULL,13154,True
